Periodo,Buenos Aires,Capital Federal,Catamarca,Chaco,Chubut,Corrientes,Córdoba,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago Del Estero,Tierra Del Fuego,Tucumán
2014-T1,54.57,112.25,24.25,20.72,41.24,22.32,52.52,34.37,17.42,18.42,48.43,16.29,31.91,23.14,49.79,44.91,28.7,27.6,9.35,28.94,47.85,16.31,63.97,33.42
2014-T2,55.06,113.14,24.7,20.96,41.41,22.58,53.45,34.69,17.54,18.71,49.71,16.5,32.1,23.37,50.84,45.33,28.91,27.78,9.72,29.38,48.39,16.7,64.36,33.94
2014-T3,56.75,113.8,24.71,21.11,40.6,22.79,54.23,34.98,17.77,18.37,55.78,16.51,32.31,23.57,56.4,46.2,29.22,27.85,9.71,28.23,49.2,16.49,65.69,33.94
2014-T4,56.09,114.9,25.51,21.87,40.25,23.56,54.7,36.03,17.96,19.6,51.27,17.01,32.64,24.16,52.55,45.48,29.53,28.04,9.79,27.8,50.0,17.27,66.14,35.32
2015-T1,56.37,114.9,25.11,26.65,37.61,28.95,54.7,42.07,18.12,19.69,55.51,16.7,32.37,26.31,51.95,45.33,30.01,27.55,9.72,27.99,50.24,17.06,74.23,35.08
2015-T2,56.8,116.07,25.45,27.46,36.58,29.58,55.87,42.93,18.36,20.29,56.71,16.88,32.49,27.35,53.12,45.98,30.46,27.64,9.71,27.07,51.18,17.11,74.51,35.69
2015-T3,57.69,118.29,25.86,27.96,36.81,30.17,57.08,43.68,18.84,21.27,57.96,17.15,32.49,28.31,54.6,46.39,31.18,27.67,9.71,27.61,52.15,17.12,74.86,36.61
2015-T4,58.29,118.13,26.24,28.35,36.89,30.34,57.36,44.11,19.07,21.47,58.76,17.32,32.49,28.69,58.29,46.44,31.59,27.66,9.71,27.74,52.61,17.0,66.46,37.06
2016-T1,57.34,115.16,25.91,28.08,36.09,30.08,55.28,43.85,19.04,21.41,57.84,16.83,32.12,28.37,55.75,45.84,31.32,27.33,9.59,26.87,51.28,16.21,65.83,36.72
2016-T2,59.34,120.04,26.07,28.59,36.12,30.58,57.55,44.74,19.37,21.89,60.44,16.88,32.13,29.24,59.1,46.24,32.08,27.34,9.6,26.73,52.44,15.89,67.72,37.24
2016-T3,60.14,120.77,26.48,28.91,36.18,31.07,58.24,45.44,18.64,22.61,61.73,17.07,32.09,29.91,60.21,46.39,32.96,27.32,9.63,26.84,52.67,15.33,68.94,37.9
2016-T4,61.24,120.63,26.54,28.79,36.07,30.98,57.7,45.21,19.85,22.65,63.02,16.46,32.11,29.72,60.87,46.39,32.69,27.29,9.64,27.05,52.19,15.07,70.31,37.98
2017-T1,58.57,108.37,25.66,28.62,35.66,30.94,57.65,44.91,19.84,22.76,62.67,16.2,31.84,29.52,61.02,46.03,32.58,27.04,9.55,26.52,51.97,14.7,68.92,37.9
2017-T2,56.27,124.06,25.98,29.05,35.55,31.39,58.97,45.39,19.97,22.4,63.49,16.2,31.76,30.09,61.91,46.02,32.74,26.96,9.51,26.25,52.27,14.12,68.46,38.19
2017-T3,55.63,121.86,32.49,29.98,46.22,32.17,62.31,45.96,21.35,22.65,69.14,51.47,35.7,30.21,60.83,48.52,39.84,32.37,15.48,33.29,60.91,35.12,65.74,39.7
2017-T4,57.61,122.9,28.62,30.81,51.46,32.52,63.33,47.89,21.27,22.74,71.05,51.57,33.33,31.14,61.24,49.38,39.8,30.3,10.59,28.91,61.71,29.13,59.89,39.9
2018-T1,62.63,106.24,32.79,30.83,53.72,32.66,63.52,48.68,21.4,23.12,71.75,51.44,37.07,30.96,61.52,49.82,39.78,32.61,15.15,33.55,62.28,34.99,65.2,41.18
2018-T2,62.78,106.53,32.86,31.25,54.9,33.81,63.27,49.2,29.43,23.43,71.04,50.98,36.97,31.63,60.24,50.15,39.94,32.95,15.15,33.33,62.57,35.26,91.61,41.51
2018-T3,64.44,108.45,32.92,32.28,56.39,34.25,64.24,50.22,29.58,23.26,71.75,50.73,37.99,32.1,60.49,50.54,39.43,33.05,52.35,32.73,63.41,36.25,92.77,41.68
2018-T4,64.6,108.27,32.23,32.59,42.61,34.57,65.09,54.37,29.74,46.53,73.49,50.35,37.76,34.45,59.07,51.86,39.8,31.9,67.55,23.69,65.59,37.4,93.59,41.76
2019-T1,66.24,109.2,32.19,32.64,43.0,35.13,65.52,56.79,29.68,46.41,76.35,50.18,37.66,36.26,58.88,53.57,40.1,31.83,67.34,23.67,66.97,37.52,93.38,41.63
2019-T2,67.85,110.55,32.13,34.14,46.99,38.16,68.07,57.48,30.42,44.51,77.08,48.7,40.75,39.15,63.08,61.09,41.89,35.6,81.79,28.85,67.42,52.79,94.8,40.14
2019-T3,69.36,112.65,30.88,35.85,47.57,38.49,68.59,57.9,30.11,44.32,77.45,47.94,40.74,39.33,64.14,63.42,44.48,37.06,85.23,35.63,68.87,55.3,96.46,39.49
2019-T4,64.25,106.25,36.44,36.84,51.15,38.77,70.48,57.99,30.47,45.38,76.92,47.14,33.65,39.79,59.36,55.71,50.35,32.85,74.92,36.71,69.48,42.92,79.7,47.65
2020-T1,64.33,105.98,37.62,37.48,51.27,38.73,70.69,56.12,30.23,46.67,75.77,46.35,33.14,39.02,61.85,55.12,49.6,32.39,76.31,35.97,69.52,42.47,76.07,47.85
2020-T2,65.22,106.41,45.43,39.83,57.34,40.3,72.71,56.54,31.14,47.89,76.1,49.84,36.25,40.89,63.9,56.37,51.58,35.09,78.41,35.79,70.0,43.47,76.37,51.78
2020-T3,67.66,107.68,47.16,41.54,68.34,41.75,75.22,58.19,31.91,54.04,79.26,50.12,37.35,41.6,65.24,57.05,52.32,38.79,79.96,35.95,72.12,43.38,76.81,53.23
2020-T4,68.98,108.31,49.41,43.03,68.35,42.43,78.08,59.47,32.49,53.46,81.77,50.11,38.63,42.64,67.0,61.09,54.04,36.32,81.68,37.0,73.58,43.75,76.27,54.78
2021-T1,69.11,108.42,48.9,43.14,68.99,42.66,78.59,60.44,32.73,55.63,81.78,49.81,39.15,43.17,66.84,60.88,53.93,39.06,81.24,41.65,73.92,45.67,77.35,54.82
2021-T2,70.0,110.14,52.34,43.33,72.29,43.54,80.12,61.66,33.23,56.18,82.08,76.98,40.97,45.01,69.14,61.94,54.93,39.28,83.48,44.01,75.07,46.56,67.89,54.93
2021-T3,71.68,111.27,52.71,42.96,80.71,44.9,81.28,62.18,33.96,55.69,84.28,77.26,45.55,45.57,69.71,61.97,55.96,39.46,79.87,43.75,75.02,47.0,94.95,54.64
2021-T4,75.66,111.27,55.25,44.05,82.57,45.51,84.51,63.16,34.45,56.92,89.57,77.92,47.51,49.06,73.3,65.69,56.81,39.59,80.3,43.05,77.09,47.05,98.4,55.93
2022-T1,76.08,111.8,58.21,44.06,88.05,47.64,85.76,63.7,34.96,58.06,91.66,78.77,48.74,49.04,74.17,67.04,56.11,43.55,80.72,43.34,77.3,47.17,98.29,57.39
2022-T2,77.58,121.31,62.4,43.79,83.19,48.35,87.48,63.9,43.42,57.32,92.98,80.14,49.39,51.0,80.02,67.85,57.54,49.46,81.76,43.15,77.9,47.7,99.86,59.31
2022-T3,78.11,122.28,65.33,43.86,84.38,48.21,88.31,63.67,43.76,58.91,96.59,80.66,51.03,51.82,80.37,67.98,57.76,50.8,81.74,43.19,78.55,47.98,99.51,61.14
2022-T4,78.94,122.73,65.77,43.62,85.57,51.64,89.03,64.01,39.41,58.46,94.8,79.86,51.36,52.85,78.67,68.42,57.96,50.88,90.27,43.53,78.4,48.05,101.44,61.04
